,Unnamed: 0,bestsellers,first_name,full_name,image,last_name,on_tour,spotlight,occupation,birthday,date_of_death
10,10,True,Ariana,Ariana Franklin,https://images.randomhouse.com/author/74840,Franklin,False,"<b>Ariana Franklin</b> is the pen name of British writer Diana Norman. A bestselling author and former journalist, she lives in England with her husband, the film critic Barry Norman.",,,
11,11,True,Leslie Marmon,Leslie Marmon Silko,https://images.randomhouse.com/author/239031,Silko,False,"Leslie Marmon Silko was born in 1948 to a family whose ancestry includes Mexican, Laguna Indian, and European forebears. She has said that her writing has at its core &ldquo;the attempt to identify what it is to be a half-breed or mixed-blood person.&rdquo; As she grew up on the Laguna Pueblo Reservation, she learned the stories and culture of the Laguna people from her great-grandmother and other female relatives. After receiving her B. A. in English at the University of New Mexico, she enrolled in the University of New Mexico law school but completed only three semesters before deciding that writing and storytelling, not law, were the means by which she could best promote justice. She married John Silko in 1970. Prior to the writing of <i>Ceremony</i>, she published a series of short stories, including &ldquo;The Man to Send Rain Clouds.&rdquo; She also authored a volume of poetry, <i>Laguna Woman: Poems</i>, for which she received the Pushcart Prize for Poetry.<p>In 1973, Silko moved to Ketchikan, Alaska, where she wrote <i>Ceremony</i>. Initially conceived as a comic story abut a mother&rsquo;s attempts to keep her son, a war veteran, away from alcohol, <i>Ceremony</i> gradually transformed into an intricate meditation on mental disturbance, despair, and the power of stories and traditional culture as the keys to self-awareness and, eventually, emotional healing. Having battled depression herself while composing her novel, Silko was later to call her book &ldquo;a ceremony for staying sane.&rdquo; Silko has followed the critical success of <i>Ceremony</i> with a series of other novels, including <i>Storyteller, Almanac for the Dead</i>, and <i>Gardens in the Dunes</i>. Nevertheless, it was the singular achievement of <i>Ceremony</i> that first secured her a place among the first rank of Native American novelists. Leslie Marmon Silko now lives on a ranch near Tucson, Arizona.</p>",,,
12,12,True,Michelle,Michelle Obama,https://images.randomhouse.com/author/149907,Obama,False,"<b>Michelle Robinson Obama</b> served as First Lady of the United States from 2009 to 2017. A graduate of Princeton University and Harvard Law School, Mrs. Obama started her career as an attorney at the Chicago law firm Sidley &amp; Austin, where she met her future husband, Barack Obama. She later worked in the Chicago mayor&rsquo;s office, at the University of Chicago, and at the University of Chicago Medical Center. Mrs. Obama also founded the Chicago chapter of Public Allies, an organization that prepares young people for careers in public service.<br><br>The Obamas currently live in Washington, DC, and have two daughters, Malia and Sasha.",,,
13,13,True,Gennifer,Gennifer Choldenko,https://images.randomhouse.com/author/4877,Choldenko,False,"<b>Gennifer Choldenko&nbsp;</b>was the youngest in a family of four kids, where her nickname was &ldquo;Snot-Nose.&rdquo; Her quirky sense of humor made its debut at the dinner table when Gennifer was a very little kid. She is the author of seven children&rsquo;s books, including&nbsp;<i>Notes from a Liar and Her Dog</i>, a School Library Journal Best Book of the Year;&nbsp;<i>If a Tree Falls at Lunch Period</i>; and&nbsp;<i>Al Capone Shines My Shoes.
</i>",,,
14,14,True,J. M.,J. M. Coetzee,https://images.randomhouse.com/author/231142,Coetzee,False,"Born in Cape Town, South Africa, on February 9, 1940,&#160;<b>J. M. Coetzee</b>&#160;studied first at Cape Town and later at the University of Texas at Austin, where he earned a PhD degree in literature. In 1972, he returned to South Africa and joined the faculty of the University of Cape Town. His works of fiction include&#160;<i>Dusklands; Waiting for the Barbarians,</i>&#160;which won South Africa&rsquo;s highest literary honor, the Central News Agency Literary Award; and the&#160;<i>Life and Times of Michael K</i>., for which Coetzee was awarded his first Booker Prize in 1983. He has also published a memoir,<i>&#160;Boyhood: Scenes From a Provincial Life</i>, and several essay collections. He has won many other literary prizes, including the Lannan Award for Fiction, the Jerusalem Prize, and <i>the&#160;Irish Times</i>&#160;International Fiction Prize. In 1999, he again won Britain&rsquo;s prestigious Booker Prize for&#160;<i>Disgrace</i>, becoming the first author to win the award twice in its 31-year history. In 2003, Coetzee was awarded the Nobel Prize in Literature.",,,
15,15,True,Naomi,Naomi Klein,https://images.randomhouse.com/author/15909,Klein,False,"<b>Naomi Klein</b> is an award-winning journalist, columnist, and author of the&#160;<i>New York Times&#160;</i>and international bestsellers&#160;<i>The Shock Doctrine</i>, <i>No Logo</i>, <i>This Changes Everything, </i>and<i> No Is Not Enough</i>. A Senior Correspondent for The Intercept, reporter for&#160;<i>Rolling Stone</i>,&#160;and contributor for&#160;both <i>The Nation&#160;</i>and <i>The</i>&#160;<i>Guardian</i>, Klein is the inaugural Gloria Steinem Endowed Chair in Media, Culture, and Feminist Studies at Rutgers University. She is co-founder of the climate justice organization The Leap.",,,
16,16,True,Julia,Julia Cameron,https://images.randomhouse.com/author/44895,Cameron,False,"<b>Julia Cameron&nbsp;</b>has been an active artist for more than three decades. She is the author of more than thirty books, including such bestselling works on the creative process as&nbsp;<i>The Artist&rsquo;s Way</i>,&nbsp;<i>Walking in This World</i>, and&nbsp;<i>Finding Water</i>. Also a novelist, playwright, songwriter, and poet, she has multiple credits in theater, film, and television, including an episode of&nbsp;<i>Miami Vice</i>, which&nbsp;featured Miles Davis, and&nbsp;<i>Elvis and the Beauty Queen</i>, which starred Don Johnson. She was a writer on such movies as&nbsp;<i>Taxi Driver</i>,&nbsp;<i>New York, New York</i>, and&nbsp;<i>The Last Waltz</i>. She wrote, produced, and directed the award-winning independent feature film&nbsp;<i>God's Will</i>, which premiered at the Chicago International Film Festival, and was selected by the London Film Festival, the Munich International Film Festival, and the Women in Film Festival, among others. In addition to making films, Cameron has taught film at such diverse places as Chicago Filmmakers, Northwestern University, and Columbia College. She is also an award-winning playwright, whose work has appeared on such well-known stages as the McCarter Theater at Princeton University and the Denver Center for the Performing Arts.",,,
17,17,True,Anita,Anita Shreve,https://images.randomhouse.com/author/28236,Shreve,False,"<b>Anita Shreve</b>&#160;was a high school teacher and a freelance magazine journalist before writing fiction full time. She was the author of over fifteen novels including&#160;<i>The Stars Are Fire&#160;</i>as well as<i>&#160;</i>the international bestseller&#160;<i>The Pilot's Wife,&#160;</i>and&#160;<i>The Weight of the Water</i>, a finalist for the Orange Prize.<i>&#160;</i>Shreve taught writing at Amherst College and lived in Massachusetts.",,,
18,18,True,John,John Green,https://images.randomhouse.com/author/10955,Green,False,"<b>John Green</b>&#160;is the award-winning, #1 bestselling author of books including&#160;<i>Looking for Alaska</i>,&#160;<i>The Fault in Our Stars</i>, and&#160;<i>Turtles All the Way Down</i>.&#160;His books have received many accolades, including a Printz Medal, a Printz Honor, and an Edgar Award. John has twice been a finalist for the LA Times Book Prize and was selected by&#160;<i>TIME</i>&#160;magazine as one of the 100 Most Influential People in the World. He is also the writer and host of the critically acclaimed podcast&#160;<i>The Anthropocene Reviewed.&#160;</i>With his brother, Hank, John has co-created many online video projects, including Vlogbrothers and the educational channel Crash Course. He lives with his family in Indianapolis, Indiana. You can visit John online at johngreenbooks.com.<br><p>_________________________________________</p><br>John Green naci&oacute; en Indian&aacute;polis en 1977, y se gradu&oacute; en Lengua y Literatura Inglesa y Teolog&iacute;a de Kenyon College. Tras iniciar su carrera en el mundo editorial como cr&iacute;tico y editor,&#160; ha sido galardonado con el premio de honor Printz y el premio Edgar por sus diversas novelas.&#160; Con su novela <i>Bajo la misma estrella</i> ha demostrado su capacidad para emocionar a lectores de&#160; todas las edades y se ha convertido en uno de los autores m&aacute;s vendidos del mundo.",Poet,1631-08-19 00:00:00,1700-05-01 00:00:00
19,19,True,Karen,Karen Foxlee,https://images.randomhouse.com/author/84427,Foxlee,False,"Karen Foxlee trained and worked as a nurse for most of her adult life and also graduated from university with a degree in creative writing. She is the author of <i>The Midnight Dress</i> and <i>The Anatomy of Wings</i>, which Markus Zusak called &ldquo;so special that you want to carry it around for months after you&rsquo;ve finished, just to stay near it.&rdquo; Karen Foxlee lives in Gympie, Australia, with her daughter.",,,
20,20,True,Pico,Pico Iyer,https://images.randomhouse.com/author/14177,Iyer,False,"Pico Iyer is the author of fifteen books, translated into twenty-three languages, and has been a constant contributor for more than thirty years to&#160;<i>Time</i>,&#160;<i>The New York Times</i>,&#160;<i>Harper&rsquo;s&#160;Magazine</i>, the&#160;<i>Los Angeles Times</i>, and more than 250 other periodicals worldwide. His four recent talks for TED have received more than ten million views.&#160;www.picoiyerjourneys.com",,,
21,21,True,Alan,Alan Hollinghurst,https://images.randomhouse.com/author/13330,Hollinghurst,False,"Alan Hollinghurst is the author of the novels <i>The Swimming-Pool Library; The Folding Star; The Spell; The Line of Beauty,</i> winner of the 2004 Man Booker Prize and a finalist for the National Book Critics Circle Award; and <i>The Stranger&rsquo;s Child</i>. He has also received the Somerset Maugham Award, the E. M. Forster Award of the American Academy of Arts and Letters and the James Tait Black Memorial Prize for Fiction. He lives in London.",,,
22,22,True,Christiane,Christiane Northrup,https://images.randomhouse.com/author/51089,Northrup,False,"<b>Christiane Northrup, M.D.,</b> is the #1 <i>New York Times</i> bestselling author of <i>The Wisdom of Menopause; Women&rsquo;s Bodies, Women&rsquo;s Wisdom; </i>and <i>Mother-Daughter Wisdom, </i>and the host of seven public television specials. A board-certified OB/GYN and past president of the American Holistic Medical Association with more than twenty-five years of clinical and medical teaching experience, Dr. Northrup is a pioneer in the partnership between conventional and complementary medicine. Her work has been featured on <i>The Oprah Winfrey Show, Today, </i>and <i>Good Morning America, </i>among many others. She lives in Maine and is the mother of two adult daughters.",Journalist,1958-01-12 00:00:00,
23,23,True,Marjorie,Marjorie Garber,https://images.randomhouse.com/author/9666,Garber,False,"<p><b>Marjorie Garber</b> is the William R. Kenan, Jr., Professor of English and of Visual and Environmental Studies at Harvard University, and chair of the Program in Dramatic Arts. She has served as director of the Humanities Center at Harvard, chair of the department of Visual and Environmental Studies, and director of the Carpenter Center for the Visual Arts. A member of the Board of Directors of the American Council of Learned Societies and a trustee of the English Institute, she is the former president of the Consortium of Humanities Centers and Institutes, and a continuing member of its board. She is the author of sixteen books and has edited seven collections of essays on topics from Shakespeare to literary and cultural theory to the arts and intellectual life, including <i>Shakespeare After All,</i> which was acclaimed as one of <i>Newsweek&rsquo;</i>s ten best nonfiction books of 2004 and received the 2005 Christian Gauss Award from the Phi Beta Kappa Society.</p>",,,
24,24,True,Bernard,Bernard Bailyn,https://images.randomhouse.com/author/1194,Bailyn,False,"<b>Bernard Bailyn&nbsp;</b>is Adams University Professor and James Duncan Phillips Professor of Early American History Emeritus at Harvard University. He founded, and for many years directed, the International Seminar on the History of the Atlantic World, which helped to reorient the study of the Atlantic region in the early modern era. His books include&nbsp;<i>The Ideological Origins of the American Revolution</i>,&nbsp;which received the Pulitzer and Bancroft Prizes in 1968;&nbsp;<i>The Ordeal of Thomas Hutchinson</i>,&nbsp;which won the 1975 National Book Award for History;&nbsp;<i>Voyagers to the West</i>,&nbsp;which won the Pulitzer Prize in 1987;&nbsp;<i>Atlantic History: Concept and Contours</i>;&nbsp;<i>The Barbarous Years: The Peopling of British North America: The Conflict of Civilizations, 1600&ndash;1675</i>, and <i>Sometimes an Art: Nine Essays on History</i>.&nbsp;",Playwright,1856-07-26 00:00:00,1950-11-02 00:00:00
25,25,True,Fannie,Fannie Flagg,https://images.randomhouse.com/author/8817,Flagg,False,"<b>Fannie Flagg</b>&rsquo;s career started in the fifth grade when she wrote, directed, and starred in her first play, titled <i>The Whoopee Girls,</i> and she has not stopped since. At age nineteen she began writing and producing television specials, and later wrote for and appeared on <i>Candid Camera</i>. She then went on to distinguish herself as an actress and a writer in television, films, and the theater. She is the bestselling author of <i>Daisy Fay and the Miracle Man;<b> </b>Fried Green Tomatoes at the Whistle Stop Cafe;<b> </b>Welcome to the World, Baby Girl!; Standing in the Rainbow; A Redbird Christmas; Can&rsquo;t Wait to Get to Heaven; I Still Dream About You;</i> <i>The All-Girl Filling Station&rsquo;s Last Reunion; </i>and<i> The Whole Town&rsquo;s Talking</i>. Flagg&rsquo;s script for the movie <i>Fried Green Tomatoes</i> was nominated for an Academy Award and the Writers Guild of America Award and won the highly regarded Scripter Award for best screenplay of the year. Fannie Flagg is the winner of the Harper Lee Prize. She lives happily in California and Alabama.",,,
26,26,True,Julia,Julia Child,https://images.randomhouse.com/author/4837,Child,False,"Julia Child was born in Pasadena, California, in 1912. She graduated from Smith College and worked for the OSS during World War II. She married Paul Child and they moved to Paris, where she studied at the Cordon Bleu. In Paris, she taught cooking with Simone Beck and Louisette Bertholle, with whom she wrote the first volume of&#160;<i>Mastering the Art of French Cooking&#160;</i>(1961). In 1963, Boston&rsquo;s WGBH launched&#160;<i>The French Chef&#160;</i>television series, which made Julia Child a national celebrity, earning her the Peabody Award in 1964 and an Emmy in 1966, the first of several. After a more than fifty-year career as an author, teacher, and advocate for home cooking, including numerous public television series and best-selling cookbooks, she remains a beloved&#160;culinary icon. In 2002, her Cambridge, Massachusetts, kitchen, featured in many of her television series, was displayed at the Smithsonian&rsquo;s National Museum of American History, where it now anchors the museum&rsquo;s first major exhibit on food history. She was awarded the French Legion of Honor in 2000 and the U.S. Presidential Medal of Freedom in 2003 for her contributions to French and American culture. She died in Santa Barbara, California, in 2004, two days before her ninety-second birthday. Since then, the Julia Child Foundation for Gastronomy and the Culinary Arts, which Julia established before she died, has continued her legacy, by educating and encouraging others to cook, eat, and drink well, through grants and by presenting the annual Julia Child Award.",,,
27,27,True,Paul,Paul Quarrington,https://images.randomhouse.com/author/24705,Quarrington,False,"The author of ten novels, Paul Quarrington was also a musician (most recently in the band Porkbelly Futures), an award-winning screenwriter and filmmaker, and an acclaimed non-fiction writer.<br><br>Paul Quarrington's novel, <b>Galveston</b>, was nominated for the Scotiabank Giller Prize; <b>King Leary</b> won the CBC's 2008 Canada Reads competition and the Stephen Leacock Memorial Medal; and <b>Whale Music</b> was awarded the Governor General's Literary Award for Fiction. Recently, Porkbelly Futures' self-titled second CD has been released to widespread acclaim, and Paul Quarrington's short film adaptation of <b>The Ravine</b>, entitled <i>Pavane</i>, was featured in the Moving Stories Short Film Festival. Paul Quarrington's non-fiction writing includes books on some of his favourite pastimes, such as fishing, hockey, and music. A regular contributor of book reviews, travel columns, and journalism to Canada's national newspapers and magazines, he also taught writing at Humber College and the University of Toronto. <br><br>Paul Quarringon passed away in January 2010.",,,
28,28,True,Clive,Clive Cussler,https://images.randomhouse.com/author/6228,Cussler,False,"<b>Clive Cussler</b>&#160;was the author of more than eighty books in five bestselling series, including Dirk Pitt&#174;, NUMA&#174; Files<i>, Oregon</i>&#174; Files, Isaac Bell&#174;, and Sam and Remi Fargo&#174;. His life nearly paralleled that of his hero Dirk Pitt. Whether searching for lost aircraft or leading expeditions to find famous shipwrecks, he and his NUMA crew of volunteers discovered and surveyed more than seventy-five lost ships of historic significance, including the long-lost Confederate submarine&#160;<i>Hunley</i>, which was raised in 2000 with much publicity. Like Pitt, Cussler collected classic automobiles. His collection featured more than one hundred examples of custom coachwork. Cussler passed away in February 2020.",,,
29,29,True,Ann-Marie,Ann-Marie MacDonald,https://images.randomhouse.com/author/54001,MacDonald,False,"<p><b>Ann-Marie MacDonald</b> is an author, actor, playwright and broadcaster. She trained as an actor at the National Theatre School of Canada and has appeared in numerous independent Canadian films. She<i> </i>earned<i> </i>a Genie nomination for her role in<i> I&rsquo;ve Heard the Mermaids Singing, </i>and won a Gemini Award for <i>Where the Spirit Lives. </i>She has performed in theatres across Canada, recently appearing in the Mirvish Production of <i>Cloud Nine</i>.<br><br>Her first solo-authored play, <i>Goodnight Desdemona (Good Morning Juliet)</i> won the Chalmers Award, the Governor General&rsquo;s Award, and the Canadian Authors&rsquo; Association Award. Her other works for the stage include the libretto for the chamber opera <i>Nigredo Hotel</i>, book and lyrics for the musical <i>Anything that Moves</i> (which garnered several Dora Awards, including Outstanding New Musical), and <i>Belle Moral: A Natural History</i>.<br><br>Macdonald's first novel, <b>Fall on Your Knees</b><i> </i>(1996), was a critically acclaimed international bestseller.  It won the Commonwealth Prize, was short-listed for the Giller Prize, and won the People&rsquo;s Choice Award and the Canadian Booksellers Association Libris Award for Fiction Book of the Year. In 2002 it became an Oprah&rsquo;s Book Club selection. It has been translated into 19 languages. Her second novel, <b>The Way the Crow Flies</b> (2003), was an international bestseller, a finalist for the Giller Prize, and a Good Morning America Book Club pick. It has been translated into 13<b> </b>languages. <br><br>Her new novel, <i>Adult Onset</i>, was&#160;released in the fall of&#160;2014 and is so far translated into five languages.<br><br>She lives in Toronto with her partner and their two children.</p>",,,
30,30,True,Sharon,Sharon Olds,https://images.randomhouse.com/author/22732,Olds,False,"SHARON OLDS was born in San Francisco and educated at Stanford University and Columbia University. The winner of both the Pulitzer Prize and England's T. S. Eliot Prize for her 2012 collection,&#160;<i>Stag's Leap,&#160;</i>she is the author of eleven previous books of poetry and the winner of many other honors, including the National Book Critics Circle Award for&#160;<i>The Dead and the Living</i>. Olds teaches in the Graduate Creative Writing Program at New York University and helped to found the NYU outreach programs, among them the writing workshop for residents of Goldwater Hospital on Roosevelt Island, and for the veterans of the Iraq and Afghanistan wars. She lives in New York City.",,,
31,31,True,Craig,Craig Johnson,https://images.randomhouse.com/author/230776,Johnson,False,"<b>Craig Johnson</b>&#160;is the&#160;<i>New York Times</i>&#160;bestselling author of the Longmire mysteries, the basis for the hit Netflix original series<i>&#160;Longmire</i>. He is the recipient of the Western Writers of America Spur Award for fiction, the Mountains and Plains Booksellers Award for fiction, the Nouvel Observateur Prix du Roman Noir,&#160;and the Prix SNCF du Polar. His novella&#160;<i>Spirit of Steamboat</i>&#160;was the first One Book Wyoming selection. He lives in Ucross, Wyoming, population 25.",,,
32,32,True,Ed,Ed McBain,https://images.randomhouse.com/author/19631,McBain,False,"Ed McBain, a recipient of the Mystery Writers of America's coveted Grand Master Award, was also the first American to receive the Diamond Dagger, the British Crime Writers Association's highest award. His books have sold more than one hundred million copies, ranging from the more than fifty titles in the 87th Precinct series (including the Edgar Award-nominated <i>Money, Money, Money)</i> to the bestselling novels written under his own name, Evan Hunter -- including <i>The Blackboard Jungle</i> (now in a 50th anniversary edition from Pocket Books) and Criminal Conversation. <i>Fiddlers,</i> his final 87th Precinct novel, was recently published in hardcover. Writing as both Ed McBain and<b> </b>Evan Hunter, he broke new ground with <i>Candyland,</i> a novel in two parts. He also wrote the screenplay for Alfred Hitchcock's <i>The Birds.</i> He died in 2005.",,,
33,33,True,Jeff,Jeff Lindsay,https://images.randomhouse.com/author/58692,Lindsay,False,"<b>Jeff Lindsay</b>&#160;is the author of the&#160;<i>Riley Wolfe&#160;</i>novels, and the&#160;<i>New York Times&#160;</i>bestselling author of the&#160;<i>Dexter&#160;</i>novels, which debuted in 2004 with&#160;<i>Darkly Dreaming Dexter.</i>",,,
34,34,True,Daniel,Daniel Ehrenhaft,https://images.randomhouse.com/author/42980,Ehrenhaft,False,"<i>&quot;[I know] what it&#8217;s like to be scared, and to put things off, and to worry about opening up to perfect strangers. Which is sort of akin to the process of being a human being, even if you aren&#8217;t a writer. . . . And seriously, what is writing, other than telling stories about being a human being?&quot;--Daniel Ehrenhaft</i><br><br><br>ABOUT THE AUTHOR<br><br><br>If there&#8217;s one thing you can say about Daniel Ehrenhaft&#8211;aside from the fact that he&#8217;s worn the same corduroys for the past eleven years&#8211;it&#8217;s that he has a difficult time writing about himself.  So when Random House asked him to contribute a little autobiography for this Website, he was naturally apprehensive.  <br><br>At first, he decided to do some research on the subject of autobiography.  He referred to this very site to read what other Random House authors had written about themselves.  It didn&#8217;t help.  For starters, he discovered that all these authors led fascinating, productive lives. To make matters worse, they all offered trenchant insight about what it means to be a writer. <br><br>As far as Mr. Ehrenhaft can tell, his own life as a writer boils down to a six-part regimen:<br><br>1) Drinking cheap coffee<br>2) Procrastinating (fiddling with the stereo, playing air guitar, etc.)<br>3) Reading a lot. Often, he&#8217;ll read something brilliant or moving or hilarious by someone he&#8217;s never read before, someone whose words end up blowing his mind&#8211;which is followed by<br>4) Jealousy and panic <br>5) Lunch  <br>6) A nap<br><br>But, in a strange way, this process does eventually inspire him to put pen to paper. (Or his fingertips to the computer keyboard, as it were.) After all, he knows what it&#8217;s like to be scared, and to put things off, and to worry about opening up to perfect strangers.  Which is sort of akin to the process of being a human being, even if you aren&#8217;t a writer. <br><br>And seriously, what <i>is</i> writing, other than telling stories about being a human being?  If that sounds evasive and simplistic&#8230;well, maybe it is.  On the other hand, that&#8217;s probably why a lot of writers do what they do.  They open up in their stories in ways that&#8211;at their best&#8211;illuminate truths and complexities not only about themselves, but about their readers, as well.  They write precisely so they don&#8217;t have to be evasive, which is what makes reading such a blast.  <br><br>So really, Daniel Ehrenhaft just writes because he loves to read, and he aspires to do what all his favorite authors have done for him.  In fact, if he had it his way, he would get <i>paid</i> to read.  Then again, if he had it his way, he and his wife would live in a huge castle with a billiards room and a pool shaped like a figure eight, and a custom-made electric guitar signed by the surviving members of The Clash.  <br><br>Until that happens, though, he&#8217;ll probably keep writing.",,,
