,name,genres,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors,,,,,
15,Poor People,{'Social Science'},2010-10-05,464,https://play.google.com/store/books/details?id=gn66svr6orwC&rdid=book-gn66svr6orwC&rdot=1&source=gbs_api,6.99,3.5,4,NOT_MATURE,en,"That was the simple yet groundbreaking question William T. Vollmann asked in cities and villages around the globe. The result of Vollmann's fearless inquiry is a view of poverty unlike any previously offered. Poor People struggles to confront poverty in all its hopelessness and brutality, its pride and abject fear, its fierce misery and quiet resignation, allowing the poor to explain the causes and consequences of their impoverishment in their own cultural, social, and religious terms. With intense compassion and a scrupulously unpatronizing eye, Vollmann invites his readers to recognize in our fellow human beings their full dignity, fallibility, pride, and pain, and the power of their hard-fought resilience. Some images that appeared in the print edition of this book are unavailable in the electronic edition due to rights reasons.",http://books.google.com/books/content?id=gn66svr6orwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
16,Rising Up and Rising Down,{'Philosophy'},2005-10-11,752,,,4,13,NOT_MATURE,en,"Twenty-three years in the making, Rising Up and Rising Down (the original, published by McSweeney's in October 2003, spans seven volumes) is a rich amalgam of historical analysis, contemporary case studies, anecdotes, essays, theory, charts, graphs, photographs and drawings. Convinced that there is ""a finite number of excuses"" for violence and that some excuses ""are more valid than others,"" Vollmann spent two decades consulting hundreds of sources, scrutinizing the thinking of philosophers, theologians, tyrants, warlords, military strategists, activists and pacifists. He also visited more than a dozen countries and war zones to witness violence firsthand -- sometimes barely escaping with his life. Vollmann makes deft use of these tools and experiences to create his Moral Calculus, a structured decision-making system designed to help the reader decide when violence is justifiable and when it is not.",http://books.google.com/books/content?id=WgN3hkThZewC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
17,The Royal Family,{'Fiction'},2001,780,,,5,3,MATURE,en,"Failing San Francisco private detective, Henry Tyler journeys through the dark underbelly of the city as he searches for the legendary Queen of the Prostitutes, all the while grieving over the suicide of the woman he loves.",http://books.google.com/books/content?id=NknPBxMid70C&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
18,Riding Toward Everywhere,{'Social Science'},2009-10-13,288,https://play.google.com/store/books/details?id=HNSJEqH4wd8C&rdid=book-HNSJEqH4wd8C&rdot=1&source=gbs_api,6.99,3,6,NOT_MATURE,en,"Vollmann is a relentlessly curious, endlessly sensitive, and unequivocally adventurous examiner of human existence. He has investigated the causes and symptoms of humanity's obsession with violence (Rising Up and Rising Down), taken a personal look into the hearts and minds of the world's poorest inhabitants (Poor People), and now turns his attentions to America itself, to our romanticizing of ""freedom"" and the ways in which we restrict the very freedoms we profess to admire. For Riding Toward Everywhere, Vollmann himself takes to the rails. His main accomplice is Steve, a captivating fellow trainhopper who expertly accompanies him through the secretive waters of this particular way of life. Vollmann describes the thrill and terror of lying in a trainyard in the dark, avoiding the flickering flashlights of the railroad bulls; the shockingly, gorgeously wild scenery of the American West as seen from a grainer platform; the complicated considerations involved in trying to hop on and off a moving train. It's a dangerous, thrilling, evocative examination of this underground lifestyle, and it is, without a doubt, one of Vollmann's most hauntingly beautiful narratives. Questioning anything and everything, subjecting both our national romance and our skepticism about hobo life to his finely tuned, analytical eye and the reality of what he actually sees, Vollmann carries on in the tradition of Huckleberry Finn, providing a moving portrait of this strikingly modern vision of the American dream.",http://books.google.com/books/content?id=HNSJEqH4wd8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
19,Thirteen Stories and Thirteen Epitaphs,{'Fiction'},1994,318,,,3,5,NOT_MATURE,en,"The invisible lives of prostitutes, pimps, pornographers, skinheads, and crack addicts are revealed in stories from the dark edge of contemporary life, combining elements of travel writing and reportage, autobiography and anecdotes, and told in a unique, searing voice. Original.",http://books.google.com/books/content?id=YSSUY4ToV78C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
20,WHORES FOR GLORIA,{'Fiction'},2013-01-02,144,https://play.google.com/store/books/details?id=7PrQDToTBJUC&rdid=book-7PrQDToTBJUC&rdot=1&source=gbs_api,5.99,3,1,NOT_MATURE,en,"With his first three works of fiction—the novels You Bright and Risen Angels and The Ice-Shirt, and the collection The Rainbow Stories—William T. Vollmann announced himself as a writer of rare and ferocious talent, with critics comparing him to William Burroughs, Thomas Pynchon, and T.C. Boyle. His new novel is the story of Jimmy, who has been deserted by his lover, a prostitute by the name of Gloria. In the despair of his loneliness, and his drunken grief, he reassembles Gloria’s presence out of whatever he can buy from the hookers on the street—the fragments of their lives and dreams, and locks of hair they are willing to share for a price. In his search for these snatches of intimacy he meets the hustlers, drunks, and prostitutes of San Francisco’s Tenderloin district: Candy, who beats her customers when they ask for it but refuses to let them call her a bitch; Snake, who pimps his wife; Nicole, whose job it is to give men AIDS; Jack, who shoots his woman’s earnings into his arm but still likes Chopin even though he doesn’t have a record player; and Gloria, who may or may not be a figment of Jimmy’s imagination. Vollmann writes with explosive power of the inner city, unflinching in the way he confronts the solitude of the homeless and unloved, the insulted and the injured of skid-row America. His exhilarating, high-voltage style and lyric language touch the heart and retrieve a jubilant integrity from the harsh struggles of his characters. Here is a world of harrowing truth, beautifully expressed by a writer of prodigious gifts.",http://books.google.com/books/content?id=7PrQDToTBJUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
21,No Good Alternative,{'Science'},2018-06-05,688,https://play.google.com/store/books/details?id=b_k5DwAAQBAJ&rdid=book-b_k5DwAAQBAJ&rdot=1&source=gbs_api,15.99,,,NOT_MATURE,en,"“The most honest book about climate change yet.” —The Atlantic “The Infinite Jest of climate books.” —The Baffler An eye-opening look at the consequences of coal mining and oil and natural gas production—the second of a two volume work by award-winning author William T. Vollmann on the ideologies of energy production and the causes of climate change The second volume of William T. Vollmann's epic book about the factors and human actions that have led to global warming begins in the coal fields of West Virginia and Eastern Kentucky, where ""America's best friend"" is not merely a fuel, but a ""heritage."" Over the course of four years Vollmann finds hollowed out towns with coal-polluted streams and acidified drinking water; makes covert visits to mountaintop removal mines; and offers documented accounts of unpaid fines for federal health and safety violations and of miners who died because their bosses cut corners to make more money. To write about natural gas, Vollmann journeys to Greeley, Colorado, where he interviews anti-fracking activists, a city planner, and a homeowner with serious health issues from fracking. Turning to oil production, he speaks with, among others, the former CEO of Conoco and a vice president of the Bank of Oklahoma in charge of energy loans, and conducts furtive roadside interviews of guest workers performing oil-related contract labor in the United Arab Emirates. As with its predecessor, No Immediate Danger, this volume seeks to understand and listen, not to lay blame--except in a few corporate and political cases where outrage is clearly due. Vollmann is a carbon burner just like the rest of us; he describes and quantifies his own power use, then looks around him, trying to explain to the future why it was that we went against scientific consensus, continually increasing the demand for electric power and insisting that we had no good alternative.",http://books.google.com/books/content?id=b_k5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
22,Argall,{'Fiction'},2002,746,,,4,1,NOT_MATURE,en,The third volume of the author's epic saga of North America peeks behind the myth of Pocahontas and John Smith to recreate the story of the founding of the Jamestown colony in Virginia with gritty realism. Reprint.,http://books.google.com/books/content?id=hh0WYbclptAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
23,Fathers and Crows,{'Fiction'},1993,990,,,5,1,NOT_MATURE,en,"The second volume of a saga that chronicles the relations between native Americans and their colonizers begins four hundred years ago in the Great Lakes region, where Jesuit priests martyr themselves to save the disease-ridden villages of the Huron.--Amazon.com.",http://books.google.com/books/content?id=BEjuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
24,An Afghanistan Picture Show,{'Biography & Autobiography'},2013,286,,,2.5,2,NOT_MATURE,en,"Recounting his journey through war-torn Afghanistan of the 1980s, the author describes the orphans, refugees, guerrilla leaders, bureaucrats, corrupt officials, and has-been politicians in the region.",http://books.google.com/books/content?id=zcNvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
25,Uncentering the Earth,{'Biography & Autobiography'},2006-01,295,,,3,1,NOT_MATURE,en,"An analysis of the scientific and social impact of the Polish astronomer's pivotal sixteenth-century work traces how his challenge to beliefs about an earth-centric solar system had a profound influence on the ways in which humanity understands itself and the universe. 20,000 first printing.",http://books.google.com/books/content?id=zNKEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
26,Poor People,{'Social Science'},2007-02-27,314,,,3.5,4,NOT_MATURE,en,"Examines and analyzes the diversity of poverty, using a series of interviews with impoverished people from around the world, who draw on their belief systems to account for their financial disadvantages.",http://books.google.com/books/content?id=wfrb3hrWo6IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
27,Kissing the Mask,{'Social Science'},2010-05-04,528,https://play.google.com/store/books/details?id=6OLK2w_9OMcC&rdid=book-6OLK2w_9OMcC&rdot=1&source=gbs_api,6.99,4,1,NOT_MATURE,en,"“Intrepid journalist and novelist William T. Vollman’s colossal body of work stands unsurpassed for its range, moral imperative, and artistry.” —Booklist William T. Vollmann, the National Book Award–winning author of Europe Central, offers a charming, evocative, and piercing examination of the ancient Japanese tradition of Noh theatre and the keys it holds to our modern understanding of beauty. Kissing the Mask is the first major book on Noh by an American writer since the 1916 publication the classic study Pisan Cantos and the Noh by Ezra Pound. But Kissing the Mask is pure Vollman—illustrated with photos by the author with provocative related side-discussions on femininity, transgender, kabuki, pornography, geishas, and more.",http://books.google.com/books/content?id=6OLK2w_9OMcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
28,The Lucky Star,{'Fiction'},2020-02-18,672,https://play.google.com/store/books/details?id=koacDwAAQBAJ&rdid=book-koacDwAAQBAJ&rdot=1&source=gbs_api,18.99,,,NOT_MATURE,en,"The National Book Award winning author returns to his original fictional territory--the lives of the dispossessed in San Francisco--with a parable about the limitations of desire and life at the margins of society In such earlier works of fiction as The Rainbow Stories and The Royal Family, William T. Vollmann wrote of pimps, prostitutes, addicts and homeless dreamers in San Francisco's Tenderloin district. In this new novel, Vollmann returns there with a story that centers around a woman with magical powers whom everyone loves, and who has to love them all back. After being initiated into a coven of island witches, Neva begins to fulfill her fate in a Tenderloin dive bar. Her worshippers include Richard, the introverted, alcoholic, occasionally omniscient narrator; a profane, aggressive transgender sex worker named Shantelle; the brisk but motherly barmaid Francine; and the former Frank, who has renamed herself after her idol Judy Garland. When Judy starts to love Neva too much, Judy's retired policeman boyfriend embarks on a mission of exposure and destruction. Crafted out of language by turns spiritual and sexually graphic, The Lucky Star aches with compassion as it explores celebrity culture, gender identity, incest, Christian sacrifice and, most of all, the quotidian and sometimes faltering heroism of marginalized people who in the face of humiliation and outright violence seek to love in their own way, and stand up for who they are.",http://books.google.com/books/content?id=koacDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
29,Rising Up and Rising Down,,2003,,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=Do4kxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
30,"Shadows of Love, Shadows of Lonliness",{'Art'},2021-07-13,,,,,,NOT_MATURE,en,"In this landmark collection, William T. Vollmann offers a kaleidoscopic retrospective of the visual artwork he has produced over four decades, with new commentary from Vollmann on his process, inspiration, and the many intersections with his writing. The celebrated author of over twenty-five books (among them the National Book Award-wining novel Europe Central; the seven-volume Rising Up and Rising Down, based on Vollmann's career as a war correspondent; and the two-volume climate change investigation Carbon Ideologies), Vollmann's equally ambitious and prolific career as a photographer, printmaker, and painter reflects the artist's deep interest in people existing on the margins, a profound empathy for his subjects, and the humility and generosity to meet them on their terms. Shadows of Love, Shadows of Loneliness includes Kodachrome slides of Afghan Mujahideen from 1982; a handmade watercolor sketchbook from Subarctic Canada, complete with inscriptions to Vollmann from local Inuit teenagers; gum bichromate prints of American landscapes from Maui to Mount Desert Island; silver gelatin portfolios of insurgents, refugees, prostitutes, police, and criminals all over the world; photogenic drawings of Tahitian women; transgender self-portraits of ""Dolores""; Bible woodblock prints in which God and everyone else is female; acrylic paintings of California landscapes; cyanotypes, platinotypes, salt prints, and gold-toned Vandykes, to name just a few. Complementing these selections is a series of essays commissioned especially for this book to lay out Vollmann's views on what photographs can and should say, how he chooses what to represent (beauty, suffering, compassion, love, desire, ideology), thoughts on photographic consensuality, and any number of technical descriptions. Particularly useful for Vollmann fans and scholars are the cross-references between these artistic and photographic projects and his books.",http://books.google.com/books/content?id=yNjOzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
31,No Good Alternative,{'History'},2019-07-02,688,,,,,NOT_MATURE,en,"""The most honest book about climate change yet."" --The Atlantic ""The Infinite Jest of climate books."" --The Baffler An eye-opening look at the consequences of coal mining and oil and natural gas production--the second of a two volume work by award-winning author William T. Vollmann on the ideologies of energy production and the causes of climate change The second volume of William T. Vollmann's epic book about the factors and human actions that have led to global warming begins in the coal fields of West Virginia and Eastern Kentucky, where ""America's best friend"" is not merely a fuel, but a ""heritage."" Over the course of four years Vollmann finds hollowed out towns with coal-polluted streams and acidified drinking water; makes covert visits to mountaintop removal mines; and offers documented accounts of unpaid fines for federal health and safety violations and of miners who died because their bosses cut corners to make more money. To write about natural gas, Vollmann journeys to Greeley, Colorado, where he interviews anti-fracking activists, a city planner, and a homeowner with serious health issues from fracking. Turning to oil production, he speaks with, among others, the former CEO of Conoco and a vice president of the Bank of Oklahoma in charge of energy loans, and conducts furtive roadside interviews of guest workers performing oil-related contract labor in the United Arab Emirates. As with its predecessor, No Immediate Danger, this volume seeks to understand and listen, not to lay blame--except in a few corporate and political cases where outrage is clearly due. Vollmann is a carbon burner just like the rest of us; he describes and quantifies his own power use, then looks around him, trying to explain to the future why it was that we went against scientific consensus, continually increasing the demand for electric power and insisting that we had no good alternative.",http://books.google.com/books/content?id=9IubDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
32,Open All Night,{'Photography'},1995-10,96,,,4,2,NOT_MATURE,en,"Vollmann Miller's extraordinary images and Vollmann's unflinching reportage combine in this unnervingly direct examination of the dark side of America's consciousness which reveals an America peopled by outsiders - skinheads, electroshock patients, drug addicts, and prostitutes.",http://books.google.com/books/content?id=63NTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"{'Ken Miller', 'William T. Vollmann'}",,,,,
33,No Immediate Danger,{'History'},2019-04-09,624,,,3,1,NOT_MATURE,en,"""The most honest book about climate change yet."" --The Atlantic ""The Infinite Jest of climate books."" --The Baffler A timely, eye-opening book about climate change and energy generation that focuses on the consequences of nuclear power production, from award-winning author William T. Vollmann In his nonfiction, William T. Vollmann has won acclaim as a singular voice tackling some of the most important issues of our age, from poverty to violence to the dark soul of American imperialism as it has played out on the U.S./Mexico border. Now, Vollmann turns to a topic that will define the generations to come--the factors and human actions that have led to global warming. Vollmann begins No Immediate Danger, the first volume of Carbon Ideologies, by examining and quantifying the many causes of climate change, from industrial manufacturing and agricultural practices to fossil fuel extraction, economic demand for electric power, and the justifiable yearning of people all over the world to live in comfort. Turning to nuclear power first, Vollmann then recounts multiple visits that he made at significant personal risk over the course of seven years to the contaminated no-go zones and sad ghost towns of Fukushima, Japan, beginning shortly after the tsunami and reactor meltdowns of 2011. Equipped first only with a dosimeter and then with a scintillation counter, he measured radiation and interviewed tsunami victims, nuclear evacuees, anti-nuclear organizers and pro-nuclear utility workers. Featuring Vollmann's signature wide learning, sardonic wit, and encyclopedic research, No Immediate Danger, whose title co-opts the reassuring mantra of official Japanese energy experts, builds up a powerful, sobering picture of the ongoing nightmare of Fukushima.",http://books.google.com/books/content?id=X9KMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
34,The Intuitionist,{'Fiction'},2012-05-23,272,https://play.google.com/store/books/details?id=WJEA1TTHu8AC&rdid=book-WJEA1TTHu8AC&rdot=1&source=gbs_api,11.99,4,24,NOT_MATURE,en,"This debut novel by the two time Pulitzer Prize-winning author of The Underground Railroad and The Nickel Boys wowed critics and readers everywhere and marked the debut of an important American writer. Nominated as one of America’s best-loved novels by PBS’s The Great American Read It is a time of calamity in a major metropolitan city's Department of Elevator Inspectors, and Lila Mae Watson, the first black female elevator inspector in the history of the department, is at the center of it. There are two warring factions within the department: the Empiricists, who work by the book and dutifully check for striations on the winch cable and such; and the Intuitionists, who are simply able to enter the elevator cab in question, meditate, and intuit any defects. Lila Mae is an Intuitionist and, it just so happens, has the highest accuracy rate in the entire department. But when an elevator in a new city building goes into total freefall on Lila Mae's watch, chaos ensues. It's an election year in the Elevator Guild, and the good-old-boy Empiricists would love nothing more than to assign the blame to an Intuitionist. But Lila Mae is never wrong. The sudden appearance of excerpts from the lost notebooks of Intuitionism's founder, James Fulton, has also caused quite a stir. The notebooks describe Fulton's work on the ""black box,"" a perfect elevator that could reinvent the city as radically as the first passenger elevator did when patented by Elisha Otis in the nineteenth century. When Lila Mae goes underground to investigate the crash, she becomes involved in the search for the portions of the notebooks that are still missing and uncovers a secret that will change her life forever. Look for Colson Whitehead’s new novel, Harlem Shuffle, coming this September!",http://books.google.com/books/content?id=WJEA1TTHu8AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Colson Whitehead'},,,,,
