,first_name,last_name,on_tour,bestsellers,spotlight,image
12,M. Evan,Wolkenstein,False,True,"M. EVAN WOLKENSTEIN is a high school teacher and writer. He attended the University of Wisconsin in Madison, the Pardes Institute for Jewish Studies, and Hebrew University. His work can be found in <I>Tablet</I> magazine and the <I>Washington Post</I>, and on BimBam.com. He lives with his wife and daughter in the San Francisco Bay Area. <I>Turtle Boy</I> is his debut novel.",https://images.randomhouse.com/author/2204931
13,Robert D.,San Souci,False,True,"<b>Robert D. San Souci</b> is the award-winning author of many popular books for young readers, including the Short &amp; Shivery books, and the quartet of picture books about Arthurian legends, <i>Young Merlin</i>, <i>Young Guinevere</i>, <i>Young Lancelot</i>, and <i>Young Arthur</i>.",https://images.randomhouse.com/author/26813
14,Mark S.,Weiner,False,True,"Mark S. Weiner was born and raised in Los Angeles. After graduating from Stanford University, he received a Ph.D. in American studies and a law degree from Yale. He now teaches constitutional law, legal history, and legal ethics at Rutgers School of Law in Newark, New Jersey.",https://images.randomhouse.com/author/59311
15,Jodi,Picoult,False,True,"<b>Jodi Picoult </b>is the #1 <i>New York Times </i>bestselling<i> </i>author of twenty-five novels, including <i>Small Great Things,</i> <i>Leaving Time, The Storyteller, Lone Wolf, Sing You Home, House Rules, Handle with Care, Change of Heart, Nineteen Minutes, </i>and <i>My Sister&rsquo;s Keeper</i>. She is also the author, with daughter Samantha van Leer, of two young adult novels, <i>Between the Lines</i> and <i>Off the Page</i>. Picoult lives in New Hampshire with her husband and three children.",https://images.randomhouse.com/author/83188
16,Marthe,Jocelyn,False,True,"When I was a child, I liked to read books about ordinary children who stumbled across enchantment. I really thought that if I looked hard enough, I might find a magic nickel or a secret room behind the bookcase or a gnarled gnome whom only I could see. As I grew older, I felt the same thrill of seeing mysteries unveiled when I went to the theatre or read a book. In my childhood activities, I played with dolls way past the normal age, made dioramas out of junk scraps, directed backyard plays with casts of neighborhood kids, and was always, always reading&ndash;only as an adult can I clearly see my pursuit of illusion.<br>When I was 14, I spent a year in a Quaker boarding school in England, encountering a world utterly different from my own, no magic necessary. I learned the advantage of being a stranger; I created a new character for myself, far from my family and not dependent on anyone&rsquo;s preconceptions. This later fed my approach to fiction: My heroines are small part &ldquo;me&rdquo; and large part invention of who I&rsquo;d like to be, or to have been. <br>My earliest chapter books (the Invisible trilogy) were about an ordinary child who stumbles across enchantment. My next several books were historical novels (<i>Earthly Astonishments, Mable Riley, </i>and<i> How It Happened in Peach Hill</i>), set in worlds utterly different from my own. It&rsquo;s easy to see in retrospect that exploring alternate realities began as a game in childhood and eventually became a consuming pastime, otherwise known as research. I <i>love</i> doing research. I depend on what I learn not only for flavor and accuracy of details, but also for the occasional serendipitous discovery that alters the plot of a story.<br>But then we come to my most recent novel, <i>Would You</i>. It is a complete departure from any of my other stories, because its inception was in the accident that gravely injured my sister when I was 20 years old and she was 27. Paula was hit by a car and remained comatose for several weeks. When she emerged, she was severely brain-damaged and a paraplegic. Ten years later, she was again hit by a car&ndash;in her wheelchair&ndash;and killed. <br>Friends were concerned that <i>Would You</i> would be too difficult to write. In fact, it was the easiest book I&rsquo;ve tackled yet. I didn&rsquo;t have to worry about plot! The characters are teenagers and the main challenge was to capture their irreverence and humor alongside the tragedy.<br>The friendship between the sisters, Natalie and Claire, is inspired by that of my own two daughters. As a mother, I delight in the love they have for each other. It is impossible not to think about my own sister and what I have lost. But here I am, 30 years later, having a fine life, and surrounded with the alternate reality that only teenagers can provide. I hope that I have written an elegy for my sister and an homage to my children.",https://images.randomhouse.com/author/14548
17,Deborah,Hopkinson,False,True,"<b>Deborah Hopkinson</b> is the author of award-winning books for children and teens including <i>Sky Boys</i>, <i>The Great Trouble</i>, <i>A Bandit's Tale</i>, and <i>A Letter to My Teacher</i>. She visits schools across the country and lives in Oregon.",https://images.randomhouse.com/author/13493
18,Gayle,Forman,False,True,"<b>Gayle Forman</b> is an award-winning, internationally bestselling author and journalist. She is the author of&#160;<i>Just One Day</i>&#160;and&#160;<i>Just One Year</i>, and the companion e-novella&#160;<i>Just One Night</i>, as well as the&#160;<i>New York Times</i>&#160;bestsellers&#160;<i>If I Stay</i>&#160;and&#160;<i>Where She Went</i>. She lives in Brooklyn, New York, with her husband and daughters.",https://images.randomhouse.com/author/95128
19,Ha,Jin,False,True,"<p>Ha Jin&#160;left his native China in 1985 to attend Brandeis University. He is the author of eight novels, four story collections, four volumes of poetry, and a book of essays. He has received the National Book Award, two PEN/Faulkner Awards, the PEN/Hemingway Foundation Award, the Asian American Literary Award, and the Flannery O'Connor Award for Short Fiction. In 2014 he was elected to the American Academy of Arts and Letters. He lives in the Boston area and is a professor at the creative writing program at Boston University.<br><br>Ha Jin is available for select readings and lectures. To inquire about a possible appearance, please contact Penguin Random House Speakers Bureau at speakers@penguinrandomhouse.com or visit www.prhspeakers.com.</p>",https://images.randomhouse.com/author/14545
20,Ahmed,Rashid,False,True,"<b>Ahmed Rashid</b> is a journalist who has been covering Afghanistan, Pakistan, and Central Asia for more than&nbsp;20 years. He is a correspondent for the&nbsp;<i>Wall Street Journal</i>,&nbsp;<i>Far Eastern Economic Review</i>,&nbsp;<i>Daily Telegraph</i>, and&nbsp;the<i> Nation</i>, a leading newspaper in Pakistan. His #1&nbsp;<i>New York Times</i>&nbsp;bestseller&nbsp;<i>Taliban: Militant Islam, Oil and Fundamentalism in Central Asia</i>&nbsp;has been translated into more than&nbsp;20 languages. Rashid&rsquo;s other works include <i>Descent into Chaos: The U.S. and the Disaster in Pakistan, Afghanistan, and Central Asia, </i>and <i>Jihad: The Rise of Militant Islam in Central Asia.</i>",https://images.randomhouse.com/author/227204
21,John,Theberge,False,True,"JOHN THEBERGE and MARY THEBERGE have spent more than thirty years conducting field research in the Yukon, Labrador, and British Columbia, and especially in Algonquin Park, Ontario. They have collaborated on many scientific and popular articles and were jointly awarded the 1994 Equinox Citation for Environmental Achievement. <br><br>John B. Theberge was until his recent retirement a professor of ecology and resource management in the faculty of environment studies at the University of Waterloo, where he taught since 1970. Mary Theberge is a wildlife illustrator and full time wolf researcher and has presented many popular programs about their discoveries. They are the authors of several books, including<br><b>Kluane: Pinnacle of the Yukon</b>, <b>Wolf Country</b>, and <b>Legacy: A Natural History of Ontario</b>.",https://images.randomhouse.com/author/30862
22,Madeleine,L'Engle,False,True,"<b>Madeleine L'Engle</b>&nbsp;(1918&ndash;2007)&nbsp;was the author of more than 45 books for all ages, among them the beloved&nbsp;<i>A Wrinkle in Time</i>,&nbsp;awarded the Newbery Medal;&nbsp;<i>A Ring of Endless Light</i>,&nbsp;a Newbery Honor Book; and&nbsp;<i>A Swiftly Tilting Planet</i>,<i>&nbsp;</i>winner of the American Book Award. L'Engle was named the 1998 recipient of the Margaret A. Edwards Award, honoring her lifetime contribution to writing for teens.",https://images.randomhouse.com/author/16446
23,Brian,Greene,True,True,"BRIAN GREENE is a professor of physics and mathematics and director of Columbia University's Center for Theoretical Physics and is renowned for his groundbreaking discoveries in superstring theory. He is the author of&#160;<i>The Elegant Universe</i>,&#160;<i>The Fabric of the Cosmos</i>, and&#160;<i>The Hidden Reality</i>, which have collectively spent sixty-five weeks on&#160;<i>The New York Times&#160;</i>best-seller list and sold more than two million copies worldwide, and he has hosted two Peabody and Emmy Award winning&#160;<i>NOVA</i>miniseries based on his books. With producer Tracy Day, Greene cofounded the World Science Festival. He lives in New York.",https://images.randomhouse.com/author/11013
24,Denise,Chong,False,True,"Denise Chong is the author of the family memoir <b>The Concubine&#8217;s Children</b> and <b>The Girl in the Picture</b>, a story of the napalm girl from the Vietnam War. She lives with her family in Ottawa.",https://images.randomhouse.com/author/61500
25,China,Miéville,False,True,"<b>China Mi&eacute;ville</b> is the author of numerous books, including <i>This Census-Taker,</i> <i>Three Moments of an Explosion, Railsea, Embassytown, Kraken, The City &amp; The City, </i>and <i>Perdido Street Station</i>. His works have won the World Fantasy Award, the Hugo Award, and the Arthur C. Clarke Award (three times). He lives and works in London.",https://images.randomhouse.com/author/20568
26,Markus,Zusak,False,True,"Markus Zusak is the award-winning, #1 bestselling author of <i>The Book Thief, I Am the Messenger, Fighting Ruben Wolf, </i>and <i>Getting the Girl.</i> His newest, much-anticipated novel, <i>Bridge of Clay,</i> will release in October 2018. He lives in Sydney, Australia, with his wife and children. Learn more about Markus at markuszusak.com.<br> &#160;<br> Markus Zusak is available for select speaking engagements. To inquire about a possible appearance, please contact the Penguin Random House Speakers Bureau at speakers@penguinrandomhouse.com.",https://images.randomhouse.com/author/59222
27,Charles,Baxter,False,True,"<p><b>CHARLES BAXTER</b>&#160;is the author of the novels&#160;<i>The Feast of Love&#160;</i>(nominated for the National Book Award),&#160;<i>First Light, Saul and Patsy, Shadow Play,</i>&#160;<i>The Soul Thief,&#160;</i>and&#160;<i>The Sun Collective,&#160;</i>and the story collections&#160;<i>Believers, Gryphon, Harmony of the World, A Relative Stranger, There&rsquo;s Something I Want You to Do,&#160;</i>and&#160;<i>Through the Safety Net.&#160;</i>His stories have been included in&#160;<i>The Best American Short Stories</i>. Baxter lives in Minneapolis and teaches at the University of Minnesota and in the MFA Program for Writers at Warren Wilson College.<br><br></p>",https://images.randomhouse.com/author/1671
28,Asako,Serizawa,False,True,"<B>Asako Serizawa </B>was born in Japan and grew up in Singapore, Jakarta, and Tokyo. A recent fiction fellow at the Fine Arts Work Center in Provincetown, Massachusetts, she has received two O. Henry Prizes, a Pushcart Prize, and a Rona Jaffe Foundation Writers' Award. She currently lives in Boston. <I>Inheritors</I> is her first book.",https://images.randomhouse.com/author/2197809
29,Tom,Vanderbilt,False,True,"TOM VANDERBILT has written for many publications, including&#160;<i>The New York Times Magazine, The Wall Street Journal Magazine, Popular Science, Financial Times, Smithsonian</i>, and&#160;<i>London Review of Books,&#160;</i>among many others. He is a contributing editor of&#160;<i>Wired UK,</i>&#160;<i>Outside,&#160;</i>and&#160;<i>Artforum.&#160;</i>He is author of&#160;<i>You May Also Like: Taste in an Age of Endless Choice, Traffic: Why We Drive the Way We Do (and What It Says About Us),&#160;</i>and&#160;<i>Survival City: Adventures Among the Ruins of Atomic America.&#160;</i>He has appeared on a wide range of television and radio programs, from the&#160;<i>Today&#160;</i>show to the BBC's World Service to NPR's&#160;<i>Fresh Air</i>. He has been a visiting scholar at NYU's Rudin Center for Transportation Policy and Management, a research fellow at the Canadian Centre for Architecture, a fellow at the Design Trust for Public Space, and a winner of the Warhol Foundation Arts Writers Grant, among other honors. He lives in Brooklyn, New York.",https://images.randomhouse.com/author/71849
30,Julie,Morstad,False,True,"<b>Julie Morstad</b> is an author, illustrator, and artist living in Vancouver. Her books have all received great acclaim; most recently,&nbsp;<i>How To&nbsp;</i>was a 2013 Governor General's Award finalist and received starred reviews in&nbsp;<i>Kirkus Reviews&nbsp;</i>and&nbsp;<i>School Library Journal</i>.",https://images.randomhouse.com/author/169348
31,Iris,Johansen,False,True,"<b>Iris Johansen</b>&nbsp;is the&nbsp;<i>New York Times</i>&nbsp;bestselling author of many novels, including&nbsp;<i>Killer Dreams</i>, <i>On the Run</i>, <i>Countdown</i>, <i>Firestorm</i>, <i>Fatal Tide</i>, <i>Dead Aim</i>,&nbsp;and&nbsp;<i>No One to Trust</i>.&nbsp;She lives near Atlanta, Georgia.",https://images.randomhouse.com/author/14557
32,Susan,Jeffers,False,True,"<b>Susan Jeffers</b> is the illustrator of such distinguished picture books as&nbsp;<i>Three Jovial Huntsmen</i>, a Caldecott Honor book;&nbsp;Robert Frost's <i>Stopping by Woods on a Snowy Evening</i>; and the ABBY Award-winning&nbsp;<i>Brother Eagle, Sister Sky</i>, which was also a&nbsp;<i>New York Times</i>&nbsp;besteller. She lives in New York state.",https://images.randomhouse.com/author/14448
33,Ruta,Sepetys,False,True,"Ruta Sepetys (www.rutasepetys.com) is an internationally acclaimed, #1&#160;<i>New York Times</i>&#160;bestselling author of historical fiction published in over sixty countries and forty languages. Sepetys is considered a ""crossover"" novelist, as her books are read by both teens and adults worldwide. Her novels&#160;<i>Between Shades of Gray</i>,&#160;<i>Out of the Easy</i>, and&#160;<i>Salt to the Sea&#160;</i>have won or been shortlisted for more than forty book prizes, and are included on more than sixty state award lists.&#160;<i>Between Shades of Gray</i>&#160;was adapted into the film&#160;<i>Ashes in the Snow</i>, and her other novels are currently in development for TV and film. Winner of the Carnegie Medal, Ruta is passionate about the power of history and literature to foster global awareness and connectivity. She has presented to NATO, to the European Parliament, in the United States Capitol, and at embassies worldwide. Ruta was born and raised in Michigan and now lives with her family in Nashville, Tennessee. Follow her on Twitter and Instagram @RutaSepetys.",https://images.randomhouse.com/author/244050
34,Louise,Fitzhugh,False,True,"<b>Louise Fitzhugh (1928-1974) was born in Memphis, Tennessee. She attended Bard College, studied art in Italy and France, and continued her studies in New York at the Art Students League and at Cooper Union. <i>Harriet the Spy</i> was her first novel for children.<br><br></b>",https://images.randomhouse.com/author/8803
35,Gabor,Maté,False,True,"GABOR MAT&Eacute;, MD, is a bestselling author and former medical columnist for the&#160;<i>Globe and Mail</i>,&#160;where his byline continues to be seen on issues of health and parenting. Dr. Mat&eacute; weaves together scientific research, case histories and his own insights and experience to present a broad perspective that enlightens and empowers people to promote their own healing and that of those around them. He has had a family practice, worked as a palliative care physician and worked with the addicted men and women in the Downtown Eastside of Vancouver. In 2018, Dr. Mat&eacute; was appointed to the Order of Canada in recognition of his&#160;passionate advocacy for social change in the prevention and treatment of addiction and mental health.",https://images.randomhouse.com/author/2199513
36,Lisa,Grunwald,False,True,"<b>Lisa Grunwald</b>&#160;is the author of the novels&#160;<i>The Irresistible Henry House</i>,&#160;<i>Whatever Makes You Happy</i>,&#160;<i>New Year's Eve</i>,&#160;<i>The Theory of Everything</i>, and&#160;<i>Summer</i>. Along with her husband,&#160;<i>Reuters</i>&#160;Editor-in-Chief Stephen J. Adler, she edited the anthologies&#160;<i>The Marriage Book</i>,&#160;<i>Women's Letters</i>, and&#160;<i>Letters of the Century</i>. Grunwald is a former contributing editor to<i>Life</i>&#160;and former features editor of&#160;<i>Esquire</i>. She lives in New York City.",https://images.randomhouse.com/author/11283
37,Philip,Kerr,False,True,"<b>Philip Kerr</b>&#160;is the <i>New York Times</i> bestselling author of the acclaimed Bernie Gunther novels, three of which&mdash;<i>Field Gray</i>,&#160;<i>The Lady from Zagreb, </i>and <i>Prussian Blue</i>&mdash;were finalists for the Edgar&#174; Award for Best Novel. Kerr has also won several Shamus Awards and the British Crime Writers&rsquo; Association Ellis Peters Award for Historical Crime Fiction. As P. B. Kerr, he is the author of the much-loved young adult fantasy series Children of the Lamp.",https://images.randomhouse.com/author/15505
38,John,Stephens,False,True,"John Stephens wrote and produced television for ten years. During this time, he read His Dark Materials by Philip Pullman and fell in love with fantasy for young readers. He spent the next several years waking at 4 am every morning to write his first book, <i>The Emerald Atlas,</i> before heading to work for the day. John lives in Los Angeles with his family. Visit BooksofBeginning.com and follow him at @johnrstephens to find out more.",https://images.randomhouse.com/author/80336
